#    L    TT             EE             TE             PP             TP          
   236    0.56406E+04    0.14408E+01    0.40359E+02    0.22348E+07    0.11890E+04
   237    0.56307E+04    0.14932E+01    0.42053E+02    0.22249E+07    0.11786E+04
   238    0.56202E+04    0.15478E+01    0.43747E+02    0.22151E+07    0.11684E+04
   239    0.56091E+04    0.16043E+01    0.45441E+02    0.22054E+07    0.11583E+04
   240    0.55973E+04    0.16629E+01    0.47131E+02    0.21957E+07    0.11484E+04
   241    0.55851E+04    0.17236E+01    0.48820E+02    0.21861E+07    0.11385E+04
   242    0.55722E+04    0.17864E+01    0.50505E+02    0.21766E+07    0.11288E+04
   243    0.55588E+04    0.18514E+01    0.52186E+02    0.21671E+07    0.11192E+04
   244    0.55447E+04    0.19185E+01    0.53864E+02    0.21577E+07    0.11097E+04
   245    0.55300E+04    0.19878E+01    0.55535E+02    0.21484E+07    0.11003E+04
   246    0.55148E+04    0.20592E+01    0.57200E+02    0.21391E+07    0.10910E+04
   247    0.54991E+04    0.21328E+01    0.58858E+02    0.21299E+07    0.10818E+04
   248    0.54827E+04    0.22088E+01    0.60509E+02    0.21208E+07    0.10727E+04
   249    0.54659E+04    0.22869E+01    0.62152E+02    0.21117E+07    0.10638E+04
   250    0.54485E+04    0.23673E+01    0.63785E+02    0.21027E+07    0.10549E+04
   251    0.54307E+04    0.24499E+01    0.65409E+02    0.20937E+07    0.10461E+04
   252    0.54121E+04    0.25348E+01    0.67022E+02    0.20848E+07    0.10374E+04
   253    0.53933E+04    0.26218E+01    0.68624E+02    0.20760E+07    0.10288E+04
   254    0.53738E+04    0.27112E+01    0.70213E+02    0.20672E+07    0.10203E+04
   255    0.53538E+04    0.28027E+01    0.71791E+02    0.20585E+07    0.10118E+04
   256    0.53333E+04    0.28967E+01    0.73357E+02    0.20498E+07    0.10035E+04
   257    0.53124E+04    0.29928E+01    0.74902E+02    0.20412E+07    0.99525E+03
   258    0.52910E+04    0.30913E+01    0.76440E+02    0.20327E+07    0.98709E+03
   259    0.52691E+04    0.31920E+01    0.77956E+02    0.20242E+07    0.97901E+03
   260    0.52468E+04    0.32950E+01    0.79464E+02    0.20158E+07    0.97102E+03
   261    0.52240E+04    0.34002E+01    0.80942E+02    0.20074E+07    0.96311E+03
   262    0.52007E+04    0.35078E+01    0.82413E+02    0.19991E+07    0.95529E+03
   263    0.51772E+04    0.36175E+01    0.83868E+02    0.19908E+07    0.94755E+03
   264    0.51531E+04    0.37296E+01    0.85301E+02    0.19826E+07    0.93989E+03
   265    0.51285E+04    0.38438E+01    0.86704E+02    0.19745E+07    0.93232E+03
   266    0.51035E+04    0.39605E+01    0.88100E+02    0.19664E+07    0.92482E+03
   267    0.50780E+04    0.40792E+01    0.89465E+02    0.19583E+07    0.91740E+03
   268    0.50522E+04    0.42002E+01    0.90816E+02    0.19503E+07    0.91007E+03
   269    0.50258E+04    0.43235E+01    0.92144E+02    0.19424E+07    0.90281E+03
   270    0.49992E+04    0.44488E+01    0.93449E+02    0.19345E+07    0.89562E+03
   271    0.49721E+04    0.45763E+01    0.94732E+02    0.19267E+07    0.88851E+03
   272    0.49448E+04    0.47063E+01    0.95984E+02    0.19189E+07    0.88148E+03
   273    0.49171E+04    0.48380E+01    0.97222E+02    0.19112E+07    0.87452E+03
   274    0.48890E+04    0.49721E+01    0.98422E+02    0.19035E+07    0.86764E+03
   275    0.48606E+04    0.51082E+01    0.99607E+02    0.18958E+07    0.86082E+03
   276    0.48319E+04    0.52463E+01    0.10075E+03    0.18883E+07    0.85408E+03
   277    0.48028E+04    0.53865E+01    0.10189E+03    0.18807E+07    0.84741E+03
   278    0.47734E+04    0.55288E+01    0.10298E+03    0.18732E+07    0.84081E+03
   279    0.47438E+04    0.56731E+01    0.10405E+03    0.18658E+07    0.83428E+03
   280    0.47138E+04    0.58193E+01    0.10509E+03    0.18584E+07    0.82781E+03
   281    0.46837E+04    0.59675E+01    0.10611E+03    0.18511E+07    0.82141E+03
